gender,workActivity,occupationIndustry,totalIncome,relationshipStatus,habitationStatus,schoolAttendance,schools,age,cust_id_new,em_elig,dm_elig,lang
Female,fulltime,2383 Building finishing contractors,52752.48,Single,With Parent,College,,33,100120,N,N,F
Other,parttime,9120 Provincial and territorial public administration (9121 to 9129),434058.4,Married,With Spouse,,,57,100121,Y,Y,E
Male,fulltime,6230 Nursing and residential care facilities (6231 to 6239),72524.75,Separate,,,,57,100122,Y,Y,E
Female,fulltime,5221 Depository credit intermediation,40513,Married,With Spouse,,,39,100123,Y,Y,F
Female,fulltime,,400000,Married,With Spouse,,,37,100124,N,Y,E
Female,parttime,6113 Universities,415086.94,Single,With Parent,Apprenticeship,,28,100125,Y,N,E
Female,fulltime,"5111 Newspaper, periodical, book and director publishers",83803.5,Divorced,,,,45,100126,Y,Y,F
Female,parttime,9120 Provincial and territorial public administration (9121 to 9129),415359.6,Married,With Spouse,,,74,100127,Y,Y,E
Female,parttime,6220 Hospitals (6221 to 6223),404563.9,Single,With Parent,College,,25,100128,N,Y,E
Male,fulltime,4411 Automobile dealers,38156.8,Married,,,,47,100129,Y,Y,F
Female,fulltime,,400000,Single,With Parent,Secondary,1,32,100130,Y,N,E
Male,fulltime,5241 Insurance carriers,71786.75,Widowed,,,,70,100131,Y,Y,E
Male,fulltime,6220 Hospitals (6221 to 6223),113311.8,Single,,,,63,100132,N,Y,F
Male,fulltime,,400000,Married,,Apprenticeship,,34,100133,Y,Y,E
Female,fulltime,,400000,Single,With Parent,Middle,1,27,100134,Y,Y,E
Male,fulltime,5615 Travel arrangement and reservation services,36878,Married,With Spouse,,,35,100135,Y,N,F
Male,fulltime,Retired,121125.9,Married,With Spouse,,,45,100136,N,Y,E
Female,parttime,"2211 Electric power generation, transmission and distribution",426843.3,Married,With Spouse,,,58,100137,Y,Y,E
Female,parttime,6211 Offices of physicians,420528.55,Married,With Spouse,,,71,100138,Y,Y,F
Male,parttime,7211 Traveller accommodations,426237.1,Married,With Spouse,,,71,100139,Y,Y,E
Female,parttime,4481 Clothing stores,413661,Married,With Spouse,,,70,100140,N,N,E
Female,parttime,2361 Residential building construction,417323.25,Married,With Spouse,,,72,100141,Y,Y,F
Male,fulltime,Retired,412389.3,Married,With Spouse,,,77,100142,Y,Y,E
Male,fulltime,Retired,423319.8,Married,With Spouse,,,46,100143,Y,Y,E
Male,parttime,6211 Offices of physicians,421939.5,Single,With Parent,,,47,100144,N,Y,F
Male,fulltime,4521 Department stores,64791.1,Married,With Spouse,,,50,100145,Y,N,E
Male,fulltime,6244 Child day-care services,132980.25,Divorced,,,,53,100146,Y,Y,E
Male,fulltime,6211 Offices of physicians,68965.5,Single,With Spouse,,,62,100147,Y,Y,F
Male,fulltime,,400000,Single,With Parent,Secondary,1,31,100148,N,Y,E
Female,fulltime,4441 Building material and supplies dealers,124481.5,Married,With Spouse,,,53,100149,Y,Y,E
Male,parttime,2212 Natural gas distribution,425695.6,Married,With Spouse,,,69,100150,Y,N,F
Male,fulltime,2111 Oil and gas extraction,49739,Married,With Spouse,,,40,100151,Y,Y,E
Male,fulltime,5411 Legal services,84995.9,Divorced,With Parent,,,53,100152,N,Y,E
Female,fulltime,5171 Wired telecommunications carriers,428288.92,Single,,Apprenticeship,,29,100153,Y,Y,F
Female,parttime,"5412 Accounting, tax preparation, bookkeeping and payroll services",414512.2,Married,With Spouse,,,74,100154,Y,Y,E
Female,fulltime,,400000,Single,With Spouse,Apprenticeship,,29,100155,Y,N,E
Male,parttime,"9130 Local, municipal and regional public administration (9131 and 9",408185.98,Single,With Parent,Secondary,1,29,100156,N,Y,F
Male,fulltime,"4172 Construction, forestry, mining, and industrial machinery, equip",124488,Divorced,,,,38,100157,Y,Y,E
Female,parttime,5241 Insurance carriers,415815,Divorced,With Parent,,,39,100158,Y,Y,E
Female,fulltime,6220 Hospitals (6221 to 6223),38736.25,Divorced,With Spouse,,,70,100159,Y,Y,F
Other,parttime,6213 Offices of other health practitioners,427757.1,Married,With Spouse,,,63,100160,N,N,E
Male,fulltime,,400000,Single,With Parent,Secondary,1,30,100161,Y,Y,E
Female,fulltime,5221 Depository credit intermediation,51962.9,Married,With Spouse,,,45,100162,Y,Y,F
Male,parttime,5414 Specialized design services,409583.53,Single,With Parent,Apprenticeship,,34,100163,Y,Y,E
Female,fulltime,5231 Securities and commodity contracts intermediation and brokerage,43091.4,Married,With Spouse,,,48,100164,N,Y,E
Female,fulltime,,400000,Single,With Parent,Secondary,1,32,100165,Y,N,F
Male,parttime,4911 Postal service,416674.24,Married,With Spouse,Apprenticeship,,33,100166,Y,Y,E
Male,parttime,2122 Metal ore mining,412589.5,Single,With Parent,College,,33,100167,Y,Y,E
Female,fulltime,"5242 Agencies, brokerages and other insurance related activities",424179,Married,With Spouse,,,40,100168,N,Y,F
Female,fulltime,6211 Offices of physicians,89680.45,Widowed,,,,55,100169,Y,Y,E
Male,fulltime,,400000,Single,With Parent,Secondary,1,28,100170,Y,N,E
Male,parttime,6241 Individual and family services,434328.8,Married,With Spouse,,,48,100171,Y,Y,F
Other,fulltime,Retired,415617,Married,With Spouse,,,76,100172,N,Y,E
Other,parttime,5121 Motion picture and video industries,415197.15,Married,With Spouse,,,73,100173,Y,Y,E
Male,fulltime,6220 Hospitals (6221 to 6223),105674.8,Divorced,,,,45,100174,Y,Y,F
Female,fulltime,Retired,421503.3,Widowed,Group,,,55,100175,Y,N,E
Male,parttime,3261 Plastic product manufacturing,425334.6,Married,With Spouse,,,74,100176,N,Y,E
Male,fulltime,9120 Provincial and territorial public administration (9121 to 9129),36326.2,Married,With Spouse,,,57,100177,Y,Y,F
Male,fulltime,,400000,Single,With Parent,,,56,100178,Y,Y,E
Female,parttime,6113 Universities,410009.56,Single,With Parent,College,,34,100179,Y,Y,E
Female,fulltime,5221 Depository credit intermediation,68656.5,Single,,,,50,100180,N,N,F
Female,parttime,5221 Depository credit intermediation,414808.55,Married,With Spouse,,,60,100181,Y,Y,E
Female,parttime,5311 Lessors of real estate,407630.92,Single,With Parent,College,,26,100182,Y,Y,E
Other,fulltime,Retired,56150.5,Widowed,,,,54,100183,Y,Y,F
Female,fulltime,"5182 Data processing, hosting, and related services",42554.6,Married,With Spouse,,,52,100184,N,Y,E
Male,fulltime,5615 Travel arrangement and reservation services,425010,Single,With Parent,,,40,100185,Y,N,E
Female,parttime,"5242 Agencies, brokerages and other insurance related activities",405862.12,Single,With Parent,Apprenticeship,,31,100186,Y,Y,F
Female,parttime,5615 Travel arrangement and reservation services,428509.65,Married,With Spouse,,,59,100187,Y,Y,E
Male,parttime,6111 Elementary and secondary schools,409088.86,Single,With Parent,Apprenticeship,,27,100188,N,Y,E
Female,fulltime,6220 Hospitals (6221 to 6223),421187,Divorced,With Parent,,,37,100189,Y,Y,F
Male,fulltime,5617 Services to buildings and dwellings,68704.45,Single,,,,57,100190,Y,N,E
Male,parttime,5221 Depository credit intermediation,422231.8,Married,With Spouse,,,56,100191,Y,Y,E
Female,fulltime,,400000,Single,With Parent,Secondary,1,28,100192,N,Y,F
Female,fulltime,"8139 Business, professional, labour and other membership organizatio",159838.8,Married,With Spouse,,,50,100193,Y,Y,E
Male,parttime,2371 Utility system construction,406428.73,Single,With Parent,Apprenticeship,,31,100194,Y,Y,E
Female,parttime,3363 Motor vehicle parts manufacturing,404715.04,Single,With Parent,College,,33,100195,Y,N,F
Male,fulltime,Retired,414219.8,Married,With Spouse,,,46,100196,N,Y,E
Female,parttime,5414 Specialized design services,409839.28,Single,With Parent,Apprenticeship,,33,100197,Y,Y,E
Female,parttime,5311 Lessors of real estate,408806.05,Single,With Spouse,Apprenticeship,,31,100198,Y,Y,F
Male,fulltime,5311 Lessors of real estate,46543.95,Married,With Spouse,,,55,100199,Y,Y,E
Female,fulltime,4854 School and employee bus transportation,47951,Married,With Spouse,,,37,100200,N,N,E
Other,fulltime,4451 Grocery stores,41300.6,Married,With Spouse,,,45,100201,Y,Y,F
Female,fulltime,6113 Universities,35869.9,Married,With Spouse,,,51,100202,Y,Y,E
Male,fulltime,Retired,60552.8,Married,With Spouse,,,42,100203,Y,Y,E
Male,parttime,"9130 Local, municipal and regional public administration (9131 and 9",425969.3,Married,With Spouse,,,60,100204,N,Y,F
Male,fulltime,9120 Provincial and territorial public administration (9121 to 9129),101688.4,Divorced,,,,52,100205,Y,N,E
Other,fulltime,Retired,39062.1,Married,With Spouse,,,39,100206,Y,Y,E
Male,parttime,8121 Personal care services,421522.6,Divorced,With Parent,,,52,100207,Y,Y,F
Other,parttime,6111 Elementary and secondary schools,407935.51,Single,With Parent,College,,32,100208,N,Y,E
Male,fulltime,"4161 Electrical, plumbing, heating and air-conditioning equipment an",66880.55,Married,With Spouse,,,63,100209,Y,Y,E
Male,parttime,"5412 Accounting, tax preparation, bookkeeping and payroll services",417508.81,Single,With Spouse,Apprenticeship,,31,100210,Y,N,F
Male,parttime,6220 Hospitals (6221 to 6223),422559.55,Married,With Spouse,,,59,100211,Y,Y,E
Female,parttime,3231 Printing and related support activities,425005.9,Married,With Spouse,,,68,100212,N,Y,E
Male,fulltime,,400000,Single,With Parent,College,,26,100213,Y,Y,F
Male,fulltime,Retired,424280.9,Married,With Spouse,,,43,100214,Y,Y,E
Male,fulltime,6220 Hospitals (6221 to 6223),103331.8,Single,,,,52,100215,Y,N,E
Female,fulltime,,85858,Single,Group,,,35,100216,N,Y,F
Other,fulltime,6241 Individual and family services,122931.6,Married,,,,52,100217,Y,Y,E
Female,fulltime,9120 Provincial and territorial public administration (9121 to 9129),44257,Single,Group,,,41,100218,Y,Y,E
Other,fulltime,,400000,Married,With Spouse,,,54,100219,Y,Y,F
Male,fulltime,6113 Universities,36549.35,Single,With Spouse,,,66,100220,N,N,E
Other,parttime,6116 Other school and instruction,427097.8,Married,With Spouse,,,73,100221,Y,Y,E
Female,parttime,6111 Elementary and secondary schools,418427,Married,With Spouse,,,43,100222,Y,Y,F
Female,fulltime,6113 Universities,69486.45,Married,With Spouse,,,54,100223,Y,Y,E
Male,fulltime,Retired,420038.9,Married,With Spouse,,,76,100224,N,Y,E
Female,fulltime,"5412 Accounting, tax preparation, bookkeeping and payroll services",47387,Married,With Spouse,,,41,100225,Y,N,F
Female,parttime,"5418 Advertising, public relations, and related services",411526.35,Married,With Spouse,,,73,100226,Y,Y,E
Other,fulltime,,400000,Single,With Parent,Secondary,1,30,100227,Y,Y,E
Other,parttime,7211 Traveller accommodations,418730.2,Married,With Spouse,,,65,100228,N,Y,F
Female,parttime,7223 Special food services,418050.95,Married,With Spouse,,,67,100229,Y,Y,E
Male,parttime,5172 Wireless telecommunications carriers (except satellite),406508.92,Single,With Parent,College,,33,100230,Y,N,E
Male,fulltime,6111 Elementary and secondary schools,43996.4,Married,With Spouse,,,72,100231,Y,Y,F
Female,fulltime,,400000,Single,With Parent,Secondary,1,28,100232,N,Y,E
Male,fulltime,,400000,Single,With Parent,Secondary,1,29,100233,Y,Y,E
Female,fulltime,5614 Business support services,51446,Married,With Spouse,,,39,100234,Y,Y,F
Male,fulltime,6113 Universities,46812.2,Separate,,,,67,100235,Y,N,E
Female,fulltime,7139 Other amusement and recreation industries,50797.45,Married,With Spouse,,,69,100236,N,Y,E
Other,parttime,6220 Hospitals (6221 to 6223),408961.48,Single,With Parent,College,,25,100237,Y,Y,F
Female,parttime,4885 Freight transportation arrangement,415070.44,Married,With Spouse,Apprenticeship,,33,100238,Y,Y,E
Male,fulltime,6220 Hospitals (6221 to 6223),236537.75,Married,With Spouse,,,59,100239,Y,Y,E
Female,parttime,4451 Grocery stores,422987.8,Divorced,With Parent,,,48,100240,N,N,F
Female,fulltime,Retired,432440.8,Widowed,Group,,,42,100241,Y,Y,E
Male,fulltime,6241 Individual and family services,431925,Married,,,,35,100242,Y,Y,E
Female,parttime,5411 Legal services,407147.47,Single,With Parent,College,,34,100243,Y,Y,F
Male,fulltime,5414 Specialized design services,45906.85,Married,With Spouse,,,73,100244,N,Y,E
Male,fulltime,"5412 Accounting, tax preparation, bookkeeping and payroll services",76792.1,Separate,,,,53,100245,Y,N,E
Female,fulltime,,400000,Single,With Parent,Secondary,1,28,100246,Y,Y,F
Male,parttime,5411 Legal services,418847.29,Single,With Parent,Apprenticeship,,32,100247,Y,Y,E
Female,parttime,2212 Natural gas distribution,430488.35,Married,With Spouse,,,66,100248,N,Y,E
Male,fulltime,,400000,Single,With Parent,Middle,1,27,100249,Y,Y,F
Male,parttime,9120 Provincial and territorial public administration (9121 to 9129),416634.97,Single,With Parent,Apprenticeship,,29,100250,Y,N,E
Female,fulltime,5221 Depository credit intermediation,169594,Single,,,,39,100251,Y,Y,E
Male,parttime,5239 Other financial investment activities,413954.38,Single,With Spouse,Apprenticeship,,31,100252,N,Y,F
Male,parttime,4911 Postal service,406599.67,Single,With Parent,Apprenticeship,,27,100253,Y,Y,E
Female,fulltime,5221 Depository credit intermediation,420981.4,Single,Group,College,,32,100254,Y,Y,E
Male,fulltime,9120 Provincial and territorial public administration (9121 to 9129),39483.4,Married,With Spouse,,,48,100255,Y,N,F
Other,fulltime,4931 Warehousing and storage,427683,Married,With Spouse,,,41,100256,N,Y,E
Female,fulltime,Retired,45692.5,Widowed,Group,,,54,100257,Y,Y,E
Male,fulltime,5171 Wired telecommunications carriers,97255,Separate,,,,42,100258,Y,Y,F
Female,fulltime,Retired,418272.8,Married,With Spouse,,,52,100259,Y,Y,E
Male,fulltime,,400000,Single,With Parent,Secondary,1,32,100260,N,N,E
Female,parttime,4421 Furniture stores,410672.53,Married,With Spouse,Apprenticeship,,32,100261,Y,Y,F
Female,fulltime,5613 Employment services,52724.05,Married,With Spouse,,,54,100262,Y,Y,E
Female,fulltime,,400000,Single,With Parent,Secondary,1,30,100263,Y,Y,E
Other,parttime,"5416 Management, scientific and technical consulting services",407874.79,Single,With Parent,College,,34,100264,N,Y,F
Male,fulltime,Retired,417689,Married,With Spouse,,,77,100265,Y,N,E
Other,parttime,5221 Depository credit intermediation,417266.25,Married,With Spouse,,,68,100266,Y,Y,E
Other,fulltime,6230 Nursing and residential care facilities (6231 to 6239),61201.85,Divorced,With Spouse,,,60,100267,Y,Y,F
Female,fulltime,,400000,Single,With Parent,Middle,1,26,100268,N,Y,E
Other,fulltime,,400000,Married,With Spouse,,,65,100269,Y,Y,E
Female,parttime,8141 Private households,423281.75,Married,With Spouse,,,53,100270,Y,N,F
Female,fulltime,Retired,79333.1,Widowed,,,,78,100271,Y,Y,E
Female,fulltime,5615 Travel arrangement and reservation services,428009,Married,With Spouse,,,35,100272,N,Y,E
Male,parttime,5221 Depository credit intermediation,412408,Single,With Parent,College,,34,100273,Y,Y,F
Female,fulltime,,400000,Married,With Spouse,,,36,100274,Y,Y,E
Male,parttime,5172 Wireless telecommunications carriers (except satellite),404108.17,Married,,Apprenticeship,,28,100275,Y,N,E
Female,parttime,"5416 Management, scientific and technical consulting services",404967.16,Single,With Parent,Apprenticeship,,27,100276,N,Y,F
Female,fulltime,Retired,417053.4,Married,With Spouse,,,44,100277,Y,Y,E
Male,parttime,4911 Postal service,425221.8,Married,With Spouse,,,63,100278,Y,Y,E
Female,fulltime,5415 Computer systems design and related services,54827,Married,With Spouse,,,40,100279,Y,Y,F
Male,fulltime,5221 Depository credit intermediation,54927.4,Married,With Spouse,,,45,100280,N,N,E
Male,fulltime,4851 Urban transit systems,84104,Married,With Spouse,,,41,100281,Y,Y,E
Female,parttime,4143 Home furnishings wholesaler-distributors,410332.3,Single,,Apprenticeship,,31,100282,Y,Y,F
Male,fulltime,2382 Building equipment contractors,43116,Married,With Spouse,,,42,100283,Y,Y,E
Male,fulltime,2382 Building equipment contractors,88544.5,Single,,,,51,100284,N,Y,E
Female,fulltime,Retired,414129.5,Married,With Spouse,,,47,100285,Y,N,F
Female,parttime,4481 Clothing stores,411645.04,Married,With Spouse,Apprenticeship,,33,100286,Y,Y,E
Female,fulltime,4131 Food wholesaler-distributors,119689.7,Single,,,,54,100287,Y,Y,E
Male,fulltime,7222 Limited-service restaurants,35248.4,Married,With Spouse,,,53,100288,N,Y,F
Male,fulltime,5615 Travel arrangement and reservation services,90665.3,Divorced,,,,50,100289,Y,Y,E
Male,fulltime,7221 Full-service restaurants,46514.85,Married,With Spouse,,,64,100290,Y,N,E
